Season,Player,Matches_Bowled,Balls_Bowled,Wickets_Taken,Runs_Conceded,Overs_Bowled,Bowling_Average,Economy_Rate,Strike_Rate
2021,RV Patel,1,20,0,2,3.2,0.0,0.6,0.0
2021,Rashid Khan,14,349,19,29,58.1,1.5263157894736843,0.498567335243553,18.36842105263158
2021,Ravi Bishnoi,9,220,13,15,36.4,1.1538461538461537,0.4090909090909091,16.923076923076923
2021,S Dube,4,31,0,5,5.1,0.0,0.9677419354838709,0.0
2021,S Gopal,3,42,0,0,7.0,0.0,0.0,0.0
2021,S Kaul,8,181,8,7,30.1,0.875,0.23204419889502761,22.625
2021,S Nadeem,1,24,1,0,4.0,0.0,0.0,24.0
2021,S Sandeep Warrier,1,12,0,0,2.0,0.0,0.0,0.0
2021,SM Curran,9,209,10,15,34.5,1.5,0.43062200956937796,20.9
2021,SN Thakur,16,388,22,33,64.4,1.5,0.5103092783505154,17.636363636363637
2021,SP Narine,14,344,18,16,57.2,0.8888888888888888,0.27906976744186046,19.11111111111111
2021,Sandeep Sharma,7,145,3,5,24.1,1.6666666666666667,0.20689655172413793,48.333333333333336
2021,Shahbaz Ahmed,6,84,7,0,14.0,0.0,0.0,12.0
2021,Shakib Al Hasan,8,157,5,3,26.1,0.6,0.11464968152866241,31.4
2021,Shivam Mavi,9,204,12,20,34.0,1.6666666666666667,0.5882352941176471,17.0
2021,T Natarajan,2,50,2,3,8.2,1.5,0.36,25.0
2021,T Shamsi,1,24,0,0,4.0,0.0,0.0,0.0
2021,TA Boult,14,317,14,16,52.5,1.1428571428571428,0.3028391167192429,22.642857142857142
2021,TG Southee,3,74,5,2,12.2,0.4,0.16216216216216214,14.8
2021,TK Curran,3,72,4,4,12.0,1.0,0.3333333333333333,18.0
2021,Umran Malik,3,75,2,3,12.3,1.5,0.24,37.5
2021,V Shankar,5,72,4,7,12.0,1.75,0.5833333333333334,18.0
2021,VR Iyer,4,54,3,5,9.0,1.6666666666666667,0.5555555555555556,18.0
2021,Washington Sundar,6,98,3,4,16.2,1.3333333333333333,0.2448979591836735,32.666666666666664
2021,YS Chahal,15,323,19,12,53.5,0.631578947368421,0.22291021671826625,17.0
2022,A Badoni,2,12,2,1,2.0,0.5,0.5,6.0
2022,A Nortje,6,143,9,11,23.5,1.2222222222222223,0.46153846153846156,15.88888888888889
2022,AD Russell,13,176,21,15,29.2,0.7142857142857143,0.5113636363636364,8.380952380952381
2022,AF Milne,1,15,0,0,2.3,0.0,0.0,0.0
2022,AJ Tye,3,69,3,9,11.3,3.0,0.782608695652174,23.0
2022,AK Markram,4,36,1,0,6.0,0.0,0.0,36.0
2022,AR Patel,13,261,6,6,43.3,1.0,0.13793103448275862,43.5
2022,AS Joseph,9,185,8,11,30.5,1.375,0.3567567567567568,23.125
2022,AS Roy,2,42,1,0,7.0,0.0,0.0,42.0
2022,Abdul Samad,1,6,0,0,1.0,0.0,0.0,0.0
2022,Abhishek Sharma,3,24,0,1,4.0,0.0,0.25,0.0
2022,Akash Deep,5,119,6,7,19.5,1.1666666666666667,0.35294117647058826,19.833333333333332
2022,Aman Hakim Khan,1,6,0,0,1.0,0.0,0.0,0.0
2022,Arshdeep Singh,14,317,12,38,52.5,3.1666666666666665,0.7192429022082019,26.416666666666668
2022,Avesh Khan,13,300,19,25,50.0,1.3157894736842106,0.5,15.789473684210526
2022,B Kumar,14,330,13,36,55.0,2.769230769230769,0.6545454545454545,25.384615384615383
2022,Basil Thampi,5,102,5,12,17.0,2.4,0.7058823529411765,20.4
2022,C Sakariya,3,71,3,9,11.5,3.0,0.7605633802816901,23.666666666666668
2022,CJ Jordan,4,80,3,4,13.2,1.3333333333333333,0.3,26.666666666666668
2022,CV Varun,11,245,6,17,40.5,2.8333333333333335,0.4163265306122449,40.833333333333336
2022,D Brevis,1,3,1,0,0.3,0.0,0.0,3.0
2022,D Pretorius,6,138,7,15,23.0,2.142857142857143,0.6521739130434783,19.714285714285715
2022,DG Nalkande,2,33,2,2,5.3,1.0,0.36363636363636365,16.5
2022,DJ Bravo,10,229,17,27,38.1,1.588235294117647,0.7074235807860263,13.470588235294118
2022,DJ Hooda,2,24,1,0,4.0,0.0,0.0,24.0
2022,DJ Mitchell,2,13,0,1,2.1,0.0,0.46153846153846156,0.0
2022,DJ Willey,4,66,1,3,11.0,3.0,0.2727272727272727,66.0
2022,DR Sams,11,274,14,32,45.4,2.2857142857142856,0.7007299270072993,19.571428571428573
2022,FA Allen,1,24,1,0,4.0,0.0,0.0,24.0
2022,Fazalhaq Farooqi,3,76,2,4,12.4,2.0,0.31578947368421056,38.0
2022,GJ Maxwell,10,146,8,3,24.2,0.375,0.12328767123287672,18.25
2022,HH Pandya,10,189,8,10,31.3,1.25,0.31746031746031744,23.625
2022,HR Shokeen,5,94,2,7,15.4,3.5,0.4468085106382979,47.0
2022,HV Patel,15,338,21,36,56.2,1.7142857142857142,0.6390532544378698,16.095238095238095
2022,Harpreet Brar,5,100,4,7,16.4,1.75,0.42,25.0
2022,Harshit Rana,2,31,1,2,5.1,2.0,0.3870967741935484,31.0
2022,J Suchith,5,115,7,9,19.1,1.2857142857142858,0.4695652173913043,16.428571428571427
2022,JD Unadkat,5,123,7,5,20.3,0.7142857142857143,0.24390243902439024,17.571428571428573
2022,JDS Neesham,1,18,0,0,3.0,0.0,0.0,0.0
2022,JJ Bumrah,14,327,16,16,54.3,1.0,0.29357798165137616,20.4375
2022,JO Holder,12,266,16,25,44.2,1.5625,0.5639097744360902,16.625
2022,JR Hazlewood,12,289,21,13,48.1,0.6190476190476191,0.2698961937716263,13.761904761904763
2022,K Gowtham,4,72,5,2,12.0,0.4,0.16666666666666666,14.4
2022,K Kartikeya,4,78,5,1,13.0,0.2,0.07692307692307693,15.6
2022,K Rabada,13,303,23,28,50.3,1.2173913043478262,0.5544554455445545,13.173913043478262
