Season,Player,Matches_Batted,Innings_Batted,Runs_Scored,Balls_Faced,Dismissals,Batting_Average,Strike_Rate
2018,BA Stokes,12,166,196,166,12,16.333333333333332,118.07228915662651
2018,BB McCullum,6,91,127,91,5,25.4,139.56043956043956
2018,BB Sran,3,7,3,7,0,3.0,42.857142857142854
2018,BCJ Cutting,6,59,96,59,4,24.0,162.71186440677968
2018,Basil Thampi,1,6,3,6,1,3.0,50.0
2018,C Munro,4,41,63,41,4,15.75,153.65853658536585
2018,C de Grandhomme,8,87,131,87,4,32.75,150.57471264367817
2018,CA Lynn,16,382,491,382,14,35.07142857142857,128.53403141361258
2018,CH Gayle,11,261,368,261,9,40.888888888888886,140.99616858237547
2018,CH Morris,3,26,46,26,1,46.0,176.9230769230769
2018,CJ Anderson,3,22,17,22,3,5.666666666666667,77.27272727272727
2018,CR Brathwaite,4,54,75,54,2,37.5,138.88888888888889
2018,CR Woakes,4,19,17,19,2,8.5,89.47368421052632
2018,DA Miller,3,66,74,66,2,37.0,112.12121212121211
2018,DJ Bravo,10,93,141,93,4,35.25,151.61290322580646
2018,DJ Hooda,8,86,87,86,4,21.75,101.16279069767442
2018,DJM Short,7,102,115,102,5,23.0,112.74509803921569
2018,DL Chahar,4,30,50,30,3,16.666666666666668,166.66666666666669
2018,DR Shorey,1,9,8,9,1,8.0,88.88888888888889
2018,DS Kulkarni,2,7,6,7,0,6.0,85.71428571428571
2018,DT Christian,3,33,26,33,1,26.0,78.78787878787878
2018,E Lewis,13,290,382,290,13,29.384615384615383,131.72413793103448
2018,F du Plessis,6,130,162,130,5,32.4,124.61538461538461
2018,G Gambhir,5,91,85,91,4,21.25,93.4065934065934
2018,GJ Maxwell,12,122,169,122,10,16.9,138.52459016393445
2018,H Klaasen,4,48,57,48,3,19.0,118.75
2018,HH Pandya,13,205,260,205,9,28.88888888888889,126.82926829268293
2018,HV Patel,2,33,60,33,0,60.0,181.8181818181818
2018,Harbhajan Singh,3,38,29,38,2,14.5,76.31578947368422
2018,IS Sodhi,1,6,1,6,1,1.0,16.666666666666664
